"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"113",26718,2025-07-01,"Perks",1.99,12
"114",26718,2025-07-01,"Perks",1.99,26
"115",13484,2025-07-07,"Boosts",1.99,1
"116",23946,2025-07-30,"Boosts",1.99,5
"117",9661,2025-07-12,"Perks",4.99,15
"118",10744,2025-07-12,"Perks",1.99,5
"119",30497,2025-07-20,"Perks",1.99,3
"120",23620,2025-07-05,"Perks",1.99,1
"121",8551,2025-07-01,"Perks",9.99,1
"122",16199,2025-07-01,"Perks",4.99,1
"123",31583,2025-07-07,"Boosts",1.99,4
"124",34985,2025-07-16,"Perks",4.99,1
"125",32571,2025-07-03,"Perks",1.99,3
"126",33857,2025-07-07,"Perks",1.99,7
"127",31932,2025-07-07,"Boosts",1.99,3
"128",16939,2025-07-24,"Perks",19.99,16
"129",26137,2025-07-01,"Perks",4.99,1
"130",21937,2025-07-14,"Boosts",1.99,1
"131",23713,2025-07-09,"Boosts",1.99,1
"132",30682,2025-07-15,"Boosts",1.99,1
"133",9244,2025-07-26,"Perks",1.99,14
"134",13504,2025-07-06,"Perks",1.99,3
"135",9073,2025-07-02,"Perks",1.99,2
"136",10561,2025-07-19,"Perks",1.99,33
"137",29000,2025-07-30,"Perks",1.99,2
"138",27975,2025-07-05,"Boosts",4.99,4
"139",33058,2025-07-25,"Gold",1.99,5
"140",13142,2025-07-17,"Boosts",1.99,6
"141",33926,2025-07-05,"Perks",1.99,4
"142",8620,2025-07-11,"Perks",4.99,2
"143",10426,2025-07-16,"Perks",4.99,1
"144",29887,2025-07-01,"Boosts",1.99,1
"145",22272,2025-07-10,"Perks",4.99,1
"146",27781,2025-07-25,"Perks",1.99,1
"147",17971,2025-07-11,"Perks",1.99,9
"148",34395,2025-07-02,"Boosts",1.99,1
"149",12534,2025-07-22,"Remove Ads",1.99,1
"150",13585,2025-07-26,"Perks",4.99,5
"151",19128,2025-07-06,"Perks",9.99,1
"152",26718,2025-07-01,"Perks",1.99,10
"153",26739,2025-07-07,"Boosts",1.99,13
"154",9661,2025-07-03,"Perks",4.99,3
"155",8903,2025-07-27,"Boosts",1.99,1
"156",20142,2025-07-26,"Perks",1.99,4
"157",12053,2025-07-28,"Perks",1.99,7
"158",13225,2025-07-02,"Perks",1.99,4
"159",9249,2025-07-01,"Perks",4.99,1
"160",23479,2025-07-09,"Perks",4.99,1
"161",11145,2025-07-06,"Gold",1.99,1
"162",13553,2025-07-13,"Perks",4.99,28
"163",32571,2025-07-03,"Perks",1.99,18
"164",11245,2025-07-13,"Perks",1.99,5
"165",11245,2025-07-15,"Perks",1.99,20
"166",33857,2025-07-12,"Perks",1.99,9
"167",35822,2025-07-24,"Perks",1.99,13
"168",25106,2025-07-19,"Perks",4.99,1
"169",12388,2025-07-01,"Perks",1.99,2
"170",11816,2025-07-22,"Remove Ads",1.99,1
"171",26181,2025-07-01,"Perks",4.99,1
"172",26181,2025-07-28,"Perks",1.99,5
"173",32052,2025-07-12,"Boosts",1.99,1
"174",22398,2025-07-21,"Perks",1.99,12
"175",16862,2025-07-01,"Perks",1.99,2
"176",16862,2025-07-01,"Perks",1.99,6
"177",10561,2025-07-19,"Perks",1.99,12
"178",13925,2025-07-16,"Perks",4.99,3
"179",34530,2025-07-29,"Perks",1.99,5
"180",20618,2025-07-16,"Gold",1.99,9
"181",31112,2025-07-11,"Gold",49.99,1
"182",31112,2025-07-11,"Gold",99.99,2
"183",22792,2025-07-11,"Boosts",1.99,1
"184",17432,2025-07-01,"Perks",1.99,2
"185",17432,2025-07-15,"Perks",4.99,5
"186",29109,2025-07-24,"Boosts",1.99,1
"187",36028,2025-07-02,"Perks",1.99,1
"188",9661,2025-07-07,"Perks",1.99,8
"189",9108,2025-07-05,"Perks",1.99,2
"190",30776,2025-07-12,"Perks",9.99,4
"191",35388,2025-07-31,"Perks",1.99,5
"192",32976,2025-07-16,"Perks",1.99,6
"193",33857,2025-07-07,"Perks",1.99,4
"194",33857,2025-07-13,"Gold",1.99,11
"195",16541,2025-07-05,"Perks",1.99,2
"196",34111,2025-07-11,"Perks",1.99,1
"197",12533,2025-07-15,"Perks",1.99,1
"198",19397,2025-07-06,"Perks",1.99,1
"199",16293,2025-07-10,"Perks",1.99,1
"200",17094,2025-07-25,"Gold",1.99,2
"201",17094,2025-07-26,"Perks",1.99,3
"202",30777,2025-07-25,"Perks",4.99,2
"203",10561,2025-07-19,"Perks",1.99,28
"204",10561,2025-07-21,"Perks",1.99,84
"205",9211,2025-07-11,"Perks",4.99,1
"206",20618,2025-07-01,"Perks",4.99,1
"207",21383,2025-07-02,"Perks",4.99,1
"208",35532,2025-07-28,"Gold",1.99,2
"209",9406,2025-07-02,"Gold",1.99,2
"210",24881,2025-07-02,"Perks",1.99,1
"211",8856,2025-07-09,"Boosts",1.99,1
"212",21323,2025-07-02,"Perks",1.99,2
"213",28688,2025-07-11,"Perks",4.99,1
"214",11354,2025-07-13,"Perks",1.99,2
"215",26739,2025-07-07,"Boosts",1.99,7
"216",29155,2025-07-01,"Remove Ads",1.99,2
"217",35699,2025-07-11,"Boosts",1.99,1
"218",30854,2025-07-19,"Perks",1.99,3
"219",28856,2025-07-23,"Perks",1.99,3
"220",20313,2025-07-18,"Perks",4.99,1
"221",30996,2025-07-02,"Perks",4.99,1
"222",27152,2025-07-30,"Remove Ads",1.99,1
"223",32910,2025-07-21,"Gold",1.99,2
"224",11245,2025-07-13,"Perks",1.99,7
"225",18412,2025-07-08,"Boosts",1.99,2
"226",20034,2025-07-27,"Boosts",1.99,2
"227",13827,2025-07-02,"Perks",1.99,1
"228",32571,2025-07-27,"Perks",1.99,37
"229",24952,2025-07-11,"Perks",1.99,1
"230",34349,2025-07-16,"Perks",1.99,2
"231",13504,2025-07-04,"Boosts",1.99,2
"232",22639,2025-07-27,"Boosts",1.99,7
"233",27314,2025-07-14,"Perks",1.99,6
"234",23485,2025-07-04,"Perks",1.99,6
"235",19552,2025-07-20,"Remove Ads",1.99,1
"236",10561,2025-07-19,"Perks",1.99,21
"237",33907,2025-07-03,"Boosts",1.99,1
"238",27376,2025-07-06,"Perks",1.99,1
"239",10674,2025-07-05,"Perks",1.99,1
"240",30320,2025-07-16,"Perks",1.99,7
"241",24392,2025-07-01,"Perks",1.99,1
"242",11283,2025-07-12,"Boosts",1.99,1
"243",17848,2025-07-13,"Gold",19.99,1
"244",26254,2025-07-25,"Perks",1.99,10
"245",20538,2025-07-13,"Perks",1.99,3
"246",26718,2025-07-01,"Perks",1.99,25
"247",23946,2025-07-24,"Perks",1.99,4
"248",16837,2025-07-18,"Perks",1.99,1
"249",16474,2025-07-07,"Boosts",1.99,1
"250",13553,2025-07-11,"Perks",4.99,22
"251",32579,2025-07-20,"Perks",1.99,1
"252",15774,2025-07-25,"Perks",1.99,5
"253",11746,2025-07-11,"Gold",1.99,10
"254",30337,2025-07-05,"Perks",4.99,2
"255",22398,2025-07-20,"Perks",1.99,3
"256",16862,2025-07-06,"Perks",1.99,48
"257",16862,2025-07-07,"Perks",1.99,130
"258",14972,2025-07-20,"Boosts",1.99,1
"259",25151,2025-07-10,"Gold",4.99,4
"260",10561,2025-07-21,"Perks",1.99,69
"261",12718,2025-07-14,"Perks",1.99,9
"262",33058,2025-07-12,"Gold",1.99,2
"263",16444,2025-07-01,"Perks",1.99,1
"264",18515,2025-07-19,"Perks",1.99,3
"265",16824,2025-07-05,"Perks",1.99,11
"266",29025,2025-07-11,"Boosts",1.99,1
"267",29347,2025-07-05,"Perks",1.99,6
"268",9774,2025-07-05,"Gold",1.99,1
"269",32198,2025-07-20,"Perks",1.99,7
"270",19571,2025-07-19,"Perks",1.99,1
"271",26008,2025-07-27,"Perks",1.99,3
"272",22756,2025-07-14,"Perks",1.99,6
"273",11407,2025-07-01,"Perks",1.99,1
"274",26121,2025-07-08,"Perks",4.99,3
"275",32571,2025-07-27,"Perks",1.99,46
"276",25520,2025-07-08,"Perks",1.99,2
"277",16939,2025-07-25,"Perks",19.99,17
"278",10364,2025-07-03,"Perks",4.99,1
"279",35822,2025-07-05,"Perks",1.99,1
"280",35822,2025-07-20,"Perks",1.99,12
"281",32406,2025-07-12,"Perks",1.99,6
"282",31923,2025-07-01,"Perks",1.99,3
"283",9244,2025-07-23,"Perks",1.99,12
"284",18082,2025-07-07,"Perks",1.99,1
"285",22301,2025-07-01,"Perks",1.99,2
"286",10444,2025-07-13,"Perks",1.99,2
"287",11207,2025-07-09,"Gold",1.99,1
"288",34596,2025-07-26,"Perks",4.99,1
"289",22830,2025-07-01,"Perks",9.99,1
"290",18106,2025-07-02,"Gold",1.99,1
"291",32486,2025-07-10,"Perks",1.99,2
"292",15362,2025-07-06,"Perks",1.99,1
"293",26739,2025-07-07,"Boosts",1.99,2
"294",25874,2025-07-04,"Perks",1.99,4
"295",32083,2025-07-03,"Perks",1.99,5
"296",36238,2025-07-17,"Gold",1.99,1
"297",9108,2025-07-01,"Perks",1.99,1
"298",30776,2025-07-04,"Gold",1.99,1
"299",32938,2025-07-18,"Perks",1.99,2
"300",9249,2025-07-27,"Perks",1.99,3
"301",35447,2025-07-03,"Perks",1.99,2
"302",17695,2025-07-02,"Boosts",1.99,1
"303",17316,2025-07-13,"Boosts",1.99,1
"304",28856,2025-07-03,"Gold",1.99,1
"305",28901,2025-07-23,"Perks",1.99,7
"306",21518,2025-07-12,"Boosts",1.99,2
"307",35822,2025-07-11,"Perks",1.99,5
"308",18164,2025-07-15,"Perks",1.99,1
"309",21686,2025-07-24,"Perks",1.99,7
"310",30676,2025-07-24,"Perks",1.99,12
"311",16357,2025-07-19,"Perks",4.99,2
"312",33735,2025-07-02,"Perks",1.99,2
"313",12388,2025-07-01,"Perks",1.99,3
"314",16695,2025-07-10,"Perks",1.99,2
"315",10924,2025-07-30,"Perks",1.99,1
"316",16862,2025-07-06,"Perks",1.99,75
"317",16862,2025-07-06,"Perks",1.99,90
"318",36220,2025-07-13,"Perks",4.99,3
"319",11875,2025-07-07,"Perks",4.99,1
"320",14866,2025-07-05,"Perks",1.99,6
"321",33907,2025-07-03,"Perks",1.99,3
"322",29884,2025-07-20,"Perks",1.99,3
"323",12718,2025-07-30,"Gold",1.99,18
"324",32696,2025-07-04,"Perks",1.99,2
"325",28692,2025-07-16,"Boosts",1.99,1
"326",18484,2025-07-03,"Perks",1.99,1
"327",17432,2025-07-23,"Perks",4.99,10
"328",18568,2025-07-11,"Perks",1.99,6
"329",16824,2025-07-05,"Perks",1.99,29
"330",13553,2025-07-07,"Perks",1.99,15
"331",29149,2025-07-03,"Boosts",1.99,1
"332",10825,2025-07-17,"Perks",1.99,2
"333",35139,2025-07-31,"Perks",4.99,22
"334",12039,2025-07-23,"Perks",1.99,7
"335",14797,2025-07-02,"Perks",4.99,1
"336",14797,2025-07-25,"Gold",9.99,5
"337",30392,2025-07-04,"Perks",1.99,1
"338",16862,2025-07-02,"Perks",1.99,15
"339",16862,2025-07-02,"Perks",1.99,30
"340",16862,2025-07-07,"Perks",1.99,127
"341",16862,2025-07-07,"Boosts",1.99,135
"342",15889,2025-07-27,"Perks",1.99,2
"343",29884,2025-07-06,"Perks",4.99,2
"344",23348,2025-07-28,"Perks",4.99,1
"345",19552,2025-07-20,"Boosts",1.99,2
"346",20118,2025-07-01,"Perks",1.99,1
"347",32696,2025-07-04,"Perks",4.99,5
"348",33926,2025-07-04,"Perks",9.99,3
"349",33538,2025-07-07,"Perks",9.99,4
"350",34481,2025-07-04,"Remove Ads",1.99,2
"351",17971,2025-07-23,"Perks",1.99,26
"352",12534,2025-07-22,"Perks",1.99,4
"353",26718,2025-07-01,"Perks",1.99,32
"354",13553,2025-07-12,"Perks",1.99,27
"355",25874,2025-07-12,"Perks",1.99,11
"356",17643,2025-07-24,"Perks",4.99,9
"357",19571,2025-07-19,"Perks",1.99,2
"358",9965,2025-07-30,"Perks",9.99,2
"359",21578,2025-07-03,"Perks",1.99,1
"360",13225,2025-07-01,"Boosts",4.99,1
"361",9988,2025-07-22,"Gold",1.99,3
"362",22173,2025-07-03,"Remove Ads",1.99,1
"363",14559,2025-07-10,"Perks",1.99,2
"364",17768,2025-07-03,"Perks",1.99,2
"365",32571,2025-07-27,"Perks",1.99,36
"366",35139,2025-07-31,"Perks",4.99,19
"367",16862,2025-07-06,"Perks",1.99,54
"368",16862,2025-07-06,"Perks",1.99,86
"369",16862,2025-07-06,"Perks",1.99,112
"370",27314,2025-07-08,"Perks",4.99,1
"371",16128,2025-07-01,"Perks",1.99,1
"372",19397,2025-07-14,"Perks",1.99,2
"373",22398,2025-07-21,"Perks",1.99,6
"374",15889,2025-07-13,"Perks",4.99,1
"375",10561,2025-07-21,"Perks",1.99,85
"376",32147,2025-07-07,"Remove Ads",1.99,1
"377",32696,2025-07-30,"Perks",1.99,10
"378",20039,2025-07-29,"Perks",1.99,2
"379",34221,2025-07-31,"Boosts",1.99,1
"380",31187,2025-07-26,"Perks",1.99,10
"381",31187,2025-07-27,"Boosts",1.99,11
"382",18974,2025-07-02,"Perks",1.99,3
"383",27754,2025-07-10,"Gold",1.99,2
"384",13771,2025-07-08,"Boosts",1.99,1
"385",26739,2025-07-07,"Boosts",1.99,5
"386",28584,2025-07-07,"Boosts",1.99,2
"387",13553,2025-07-04,"Gold",49.99,11
"388",30996,2025-07-09,"Perks",4.99,2
"389",27279,2025-07-07,"Boosts",1.99,2
"390",32006,2025-07-23,"Perks",4.99,3
"391",8708,2025-07-10,"Perks",1.99,2
"392",35155,2025-07-22,"Perks",1.99,4
"393",16862,2025-07-01,"Perks",1.99,8
"394",16862,2025-07-06,"Perks",1.99,80
"395",16862,2025-07-07,"Boosts",1.99,136
"396",20791,2025-07-07,"Perks",1.99,4
"397",10561,2025-07-21,"Perks",1.99,53
"398",12718,2025-07-14,"Perks",1.99,10
"399",20618,2025-07-11,"Perks",4.99,4
"400",15947,2025-07-22,"Perks",1.99,6
"401",32384,2025-07-19,"Boosts",1.99,1
"402",31112,2025-07-12,"Perks",1.99,8
"403",11441,2025-07-11,"Perks",9.99,5
"404",17053,2025-07-01,"Remove Ads",1.99,1
"405",16824,2025-07-05,"Perks",1.99,25
"406",24469,2025-07-18,"Boosts",1.99,5
"407",28133,2025-07-15,"Boosts",1.99,1
"408",24117,2025-07-01,"Perks",1.99,1
"409",29347,2025-07-02,"Perks",1.99,1
"410",32198,2025-07-20,"Perks",1.99,10
"411",26718,2025-07-01,"Perks",1.99,22
"412",35086,2025-07-06,"Perks",1.99,4
"413",9661,2025-07-30,"Perks",1.99,32
"414",13553,2025-07-08,"Gold",9.99,16
"415",32083,2025-07-03,"Perks",1.99,4
"416",21187,2025-07-02,"Perks",1.99,2
"417",15980,2025-07-02,"Boosts",1.99,1
"418",22649,2025-07-02,"Perks",1.99,3
"419",35388,2025-07-16,"Perks",4.99,3
"420",28362,2025-07-07,"Perks",4.99,1
"421",12053,2025-07-17,"Boosts",1.99,1
"422",13225,2025-07-02,"Perks",1.99,8
"423",18420,2025-07-09,"Perks",1.99,2
"424",30854,2025-07-24,"Perks",1.99,4
"425",22756,2025-07-07,"Boosts",1.99,5
"426",33857,2025-07-07,"Perks",1.99,3
"427",19070,2025-07-06,"Perks",4.99,1
"428",33324,2025-07-18,"Perks",4.99,1
"429",36496,2025-07-07,"Perks",1.99,1
"430",12077,2025-07-10,"Perks",4.99,3
"431",31923,2025-07-01,"Perks",1.99,6
"432",9244,2025-07-08,"Perks",4.99,2
"433",10561,2025-07-19,"Perks",1.99,11
"434",18486,2025-07-01,"Gold",49.99,1
"435",21713,2025-07-25,"Perks",1.99,1
"436",18768,2025-07-06,"Boosts",1.99,1
"437",34092,2025-07-17,"Boosts",1.99,2
"438",20618,2025-07-03,"Gold",1.99,3
"439",11581,2025-07-11,"Boosts",1.99,1
"440",20098,2025-07-09,"Perks",4.99,2
"441",8854,2025-07-27,"Perks",1.99,1
"442",18568,2025-07-11,"Perks",1.99,9
"443",16824,2025-07-05,"Perks",1.99,10
"444",16824,2025-07-05,"Perks",1.99,27
"445",27754,2025-07-10,"Gold",1.99,1
"446",9661,2025-07-20,"Perks",4.99,22
"447",9661,2025-07-24,"Perks",1.99,27
"448",24284,2025-07-18,"Perks",4.99,1
"449",30776,2025-07-30,"Perks",4.99,9
"450",22798,2025-07-02,"Perks",1.99,6
"451",26941,2025-07-24,"Perks",4.99,1
"452",15958,2025-07-09,"Perks",4.99,2
"453",10925,2025-07-25,"Perks",1.99,3
"454",26217,2025-07-30,"Remove Ads",1.99,1
"455",11245,2025-07-15,"Perks",1.99,23
"456",16862,2025-07-06,"Perks",1.99,95
"457",22639,2025-07-27,"Boosts",1.99,8
"458",24388,2025-07-06,"Boosts",1.99,1
"459",22398,2025-07-19,"Boosts",1.99,1
"460",10561,2025-07-21,"Perks",1.99,73
"461",10561,2025-07-21,"Perks",1.99,78
"462",36004,2025-07-03,"Perks",1.99,1
"463",13328,2025-07-02,"Perks",1.99,1
"464",23485,2025-07-04,"Perks",1.99,4
"465",27670,2025-07-01,"Perks",1.99,1
"466",12718,2025-07-18,"Perks",1.99,11
"467",33058,2025-07-27,"Gold",1.99,7
"468",29698,2025-07-22,"Gold",1.99,1
"469",18568,2025-07-11,"Perks",1.99,12
"470",11207,2025-07-23,"Gold",1.99,5
"471",26587,2025-07-25,"Boosts",1.99,1
"472",31187,2025-07-17,"Boosts",1.99,1
"473",26254,2025-07-24,"Perks",4.99,1
"474",23925,2025-07-09,"Boosts",1.99,1
"475",32198,2025-07-20,"Perks",1.99,6
"476",26718,2025-07-01,"Perks",1.99,29
"477",22255,2025-07-18,"Remove Ads",1.99,1
"478",25181,2025-07-15,"Boosts",1.99,1
"479",13553,2025-07-04,"Perks",4.99,7
"480",17643,2025-07-17,"Perks",1.99,4
"481",35505,2025-07-02,"Perks",1.99,1
"482",21814,2025-07-01,"Boosts",1.99,1
"483",26265,2025-07-26,"Boosts",1.99,2
"484",22639,2025-07-29,"Gold",1.99,9
"485",31660,2025-07-02,"Perks",1.99,1
"486",25443,2025-07-05,"Perks",4.99,1
"487",13225,2025-07-02,"Perks",1.99,9
"488",32571,2025-07-03,"Perks",1.99,24
"489",32571,2025-07-27,"Perks",1.99,39
"490",26460,2025-07-04,"Remove Ads",1.99,1
"491",29478,2025-07-03,"Perks",4.99,3
"492",36149,2025-07-31,"Boosts",1.99,1
"493",16814,2025-07-09,"Gold",1.99,3
"494",10924,2025-07-30,"Perks",1.99,2
"495",16862,2025-07-01,"Perks",1.99,9
"496",16862,2025-07-07,"Perks",1.99,129
"497",32400,2025-07-29,"Gold",1.99,2
"498",10561,2025-07-21,"Perks",1.99,77
"499",14964,2025-07-09,"Gold",1.99,1
"500",9211,2025-07-22,"Boosts",1.99,13
"501",29385,2025-07-01,"Perks",1.99,1
"502",11226,2025-07-03,"Boosts",1.99,1
"503",33978,2025-07-24,"Boosts",1.99,1
"504",18568,2025-07-11,"Perks",1.99,8
"505",8814,2025-07-23,"Boosts",1.99,2
"506",34679,2025-07-29,"Perks",4.99,1
"507",24133,2025-07-02,"Boosts",1.99,1
"508",34181,2025-07-01,"Perks",4.99,1
"509",23560,2025-07-12,"Perks",1.99,1
"510",9661,2025-07-30,"Perks",4.99,36
"511",27812,2025-07-09,"Boosts",1.99,1
"512",27634,2025-07-25,"Gold",1.99,2
"513",9663,2025-07-16,"Perks",1.99,2
"514",27395,2025-07-18,"Perks",1.99,5
"515",14016,2025-07-01,"Boosts",1.99,1
"516",32571,2025-07-03,"Perks",1.99,6
"517",33857,2025-07-07,"Gold",1.99,5
"518",31583,2025-07-18,"Boosts",1.99,6
"519",35139,2025-07-31,"Perks",4.99,25
"520",27718,2025-07-06,"Boosts",1.99,1
"521",15562,2025-07-04,"Perks",1.99,2
"522",22639,2025-07-31,"Perks",1.99,10
"523",16862,2025-07-06,"Perks",1.99,94
"524",22933,2025-07-28,"Remove Ads",1.99,1
"525",9244,2025-07-26,"Perks",4.99,13
"526",22212,2025-07-31,"Boosts",1.99,1
"527",10561,2025-07-19,"Perks",1.99,37
"528",23485,2025-07-01,"Perks",4.99,1
"529",23485,2025-07-06,"Perks",1.99,7
"530",30777,2025-07-28,"Perks",1.99,3
"531",12718,2025-07-23,"Perks",1.99,13
"532",18515,2025-07-29,"Perks",1.99,4
"533",20528,2025-07-03,"Perks",1.99,2
"534",16824,2025-07-05,"Perks",1.99,48
"535",17971,2025-07-23,"Perks",1.99,24
"536",26464,2025-07-01,"Perks",1.99,1
"537",12534,2025-07-23,"Gold",19.99,8
"538",17042,2025-07-07,"Perks",1.99,2
"539",35493,2025-07-17,"Perks",1.99,1
"540",9661,2025-07-12,"Perks",4.99,14
"541",9661,2025-07-31,"Perks",1.99,38
"542",33866,2025-07-05,"Perks",4.99,3
"543",9576,2025-07-04,"Perks",1.99,2
"544",30776,2025-07-09,"Gold",9.99,3
"545",9493,2025-07-23,"Perks",4.99,1
"546",8685,2025-07-01,"Perks",1.99,1
"547",32571,2025-07-27,"Perks",1.99,34
"548",17768,2025-07-25,"Perks",1.99,5
"549",23063,2025-07-30,"Perks",1.99,1
"550",15774,2025-07-24,"Perks",1.99,4
"551",32406,2025-07-01,"Gold",1.99,1
"552",9864,2025-07-11,"Boosts",1.99,1
"553",11746,2025-07-10,"Gold",1.99,8
"554",10203,2025-07-01,"Boosts",1.99,1
"555",18601,2025-07-01,"Perks",1.99,2
"556",22639,2025-07-01,"Boosts",4.99,1
"557",30538,2025-07-02,"Perks",1.99,2
"558",25983,2025-07-17,"Perks",1.99,4
"559",32884,2025-07-05,"Perks",1.99,1
"560",22398,2025-07-22,"Perks",1.99,17
"561",12848,2025-07-26,"Boosts",1.99,1
"562",10561,2025-07-19,"Perks",1.99,20
"563",10561,2025-07-21,"Perks",1.99,62
"564",22319,2025-07-15,"Boosts",1.99,1
"565",30777,2025-07-28,"Perks",1.99,4
"566",27916,2025-07-06,"Boosts",1.99,2
"567",32339,2025-07-01,"Perks",4.99,1
"568",34946,2025-07-28,"Boosts",1.99,1
"569",18568,2025-07-02,"Perks",1.99,2
"570",30202,2025-07-15,"Perks",1.99,1
"571",11207,2025-07-17,"Gold",1.99,2
"572",18272,2025-07-26,"Perks",4.99,10
"573",25080,2025-07-09,"Perks",1.99,1
"574",26739,2025-07-07,"Boosts",1.99,14
